gene	log2fc_fudan	n_pairs_fudan	pval_fudan
BCAR1	0.13120051445139017	25	0.2751842737197876
BCAS1	-1.3266164020888955	13	0.127197265625
BCAS2	0.9820016112345133	12	0.00048828125
BCAT2	0.6023868689990963	28	0.0451183095574379
BCCIP	0.5225064111839512	16	0.02899169921875
BCKDHA	0.03950237457965941	22	0.6788630485534668
BCKDHB	-0.6838254971933445	24	0.7898378372192383
BCKDK	0.5373279430318977	18	0.02684783935546875
BCL10	-0.6179076089596435	11	0.0673828125
BCL2L1	1.7002297456203341	22	0.00042819976806640625
BCL2L13	-0.3409625074706726	26	0.2913762927055359
BCL2L15	-0.08830578316207306	17	0.677703857421875
BCLAF1	0.8837853679127989	27	0.02142883837223053
BCMO1	0.5562307821778402	27	0.001529410481452942
BCS1L	1.0268335032711755	27	0.012076601386070251
BDH1	-0.5364621594160542	26	0.5482756793498993
BET1L	0.7811528334179905	20	0.0004825592041015625
BGN	0.06025943758443277	28	0.9374814853072166
BID	-0.2315876484859403	28	0.6455853804945946
BIN1	0.547461166504071	9	0.65234375
BIN3	-0.3575780500409543	11	0.4130859375
BIRC6	-0.3213633046528752	20	0.47490501403808594
BLMH	0.49233612676296323	28	0.0012892335653305054
BLOC1S4	0.5322108339458155	9	0.01953125
BLVRA	0.0941725320984253	28	0.7113664001226425
BLVRB	-0.2721327417266921	28	0.033681392669677734
BNIP1	0.2977487357027831	11	0.8310546875
BOP1	2.2508977562667187	26	0.0002174675464630127
BPHL	1.0082257146296951	27	0.003247186541557312
BPNT1	1.0810904622604496	22	0.1054534912109375
BRAT1	2.336486190577532	5	
BRD2	0.49844785394788843	16	0.05767822265625
BRIX1	2.562288656452813	21	6.67572021484375e-06
BRK1	0.2909244105643986	27	0.7857417166233063
BROX	0.3880654180699732	6	0.6875
BSDC1	-0.12767028508374856	6	0.84375
BSG	0.05418376391034364	28	0.3272097110748291
BTD	-0.5891235645025277	18	0.05385589599609375
BTF3	-0.06891691260034465	28	0.5670346617698669
BTF3L4	0.07738212189311361	18	0.49507904052734375
BTN2A1	-0.3559994964495463	24	0.03948163986206055
BUB3	-0.4253605984375395	23	0.17933368682861328
BUD31	0.7626548009370737	28	0.014598868787288666
BZW1	1.8025786604326621	23	7.319450378417969e-05
BZW2	1.2177897041487666	28	0.0003814026713371277
C11ORF31	0.15595018964128537	28	0.23591722548007965
C11ORF54	-0.1456289410186095	20	0.3117942810058594
C11ORF68	0.6668274054034136	25	0.001625359058380127
C11ORF83	-0.40237634435063213	19	0.168792724609375
C12ORF10	0.26315159506785685	20	0.6476554870605469
C12ORF5	0.13049986597851607	16	0.528167724609375
C14ORF1	-0.24915016431053572	18	0.14151763916015625
C14ORF159	-0.6564058672427177	19	0.104156494140625
C14ORF166	0.013407806791637184	28	0.7621389999985695
C15ORF48	-0.6676088525344841	21	0.1789875030517578
C16ORF58	-0.8744324901410312	8	0.640625
C16ORF62	-1.573071812831229	21	0.01947307586669922
C16ORF80	0.16495972524647987	21	0.9728584289550781
C17ORF49	0.23043273659413424	13	0.127197265625
C18ORF25	0.2535923584996855	10	0.232421875
C19ORF10	1.348985809764407	5	
C19ORF25	0.0307488422303497	5	
C19ORF33	-0.7132948081369201	13	0.03271484375
C19ORF43	1.1331071968930169	6	0.15625
C1ORF123	-0.20627314887605985	20	0.7285060882568359
C1ORF198	0.7209965196887251	14	0.020263671875
C1ORF52	0.8785906216678738	9	0.12890625
C1QB	-1.3969259865449462	27	0.0011315494775772095
C1QBP	1.094823162220945	28	0.0009657368063926697
C1QC	-0.1451770338640987	20	0.6476554870605469
C1R	0.5021283511526997	26	0.3276410400867462
