gene	spearman_r	n_samples
ARAP1	0.18674968461748884	96
ARCN1	0.3917965239530796	96
AREG	0.6235921754593955	37
ARF1	0.11564025600307783	92
ARF3	0.04333175103373087	80
ARF4	0.3628687118145848	96
ARF5	0.3636536283293882	96
ARF6	0.6404272997364082	96
ARFGAP1	0.4044072763160501	96
ARFGAP2	0.3811442330518534	96
ARFGAP3	0.7245461667109627	96
ARFGEF1	0.7323704362031489	96
ARFGEF2	0.6798201290181394	96
ARFGEF3	0.5586762173220057	79
ARFIP1	0.36376769817928556	96
ARFIP2	0.43043494480457795	93
ARFRP1	0.5025409229222647	89
ARGLU1	0.18634210197080034	96
ARHGAP1	0.16296341514542112	96
ARHGAP10	0.33420944643817796	96
ARHGAP12	0.4226033794872638	86
ARHGAP15	0.38642759318431313	55
ARHGAP17	0.10783552354242049	96
ARHGAP18	0.6300250276968901	96
ARHGAP21	0.15689261235875596	57
ARHGAP25	0.640132670016547	96
ARHGAP26	0.3880105159918456	83
ARHGAP27	0.402645188660092	96
ARHGAP30	0.35998367866740716	63
ARHGAP32	0.11800634171222261	59
ARHGAP35	0.3167876197962358	94
ARHGAP4	0.6587311277210468	96
ARHGAP45	0.14802405119611967	96
ARHGAP5	0.4265318303286806	96
ARHGAP6	0.4820974543749583	60
ARHGAP9	0.4517498519074575	83
ARHGDIA	-0.006599361767825874	96
ARHGDIB	0.14745131021493774	96
ARHGEF1	0.3104741621958912	96
ARHGEF10	0.3399189144048913	36
ARHGEF10L	0.4493685481458235	96
ARHGEF11	0.17404826622713102	74
ARHGEF12	0.17945413603603316	96
ARHGEF16	0.5819948994951961	96
ARHGEF17	0.37353107767114757	96
ARHGEF18	-0.11825510138399681	96
ARHGEF2	0.1353323792535117	96
ARHGEF25	0.1687367272945144	36
ARHGEF37	0.3952934618141276	91
ARHGEF40	0.32875235154374194	80
ARHGEF5	0.3449630151595532	88
ARHGEF6	0.4000054262879023	96
ARHGEF7	0.3358813315685388	96
ARID1A	0.07916249734049141	94
ARID1B	0.133377683217681	87
ARID2	0.03454508410191138	77
ARID3A	0.7546938395788602	86
ARIH1	0.18197942172329296	96
ARIH2	0.2661916403694335	81
ARL1	0.26047396515720844	96
ARL14EP	-0.018633540372670808	22
ARL15	0.37475497680390457	96
ARL2	0.047111008621597845	96
ARL2BP	0.4115774875739874	67
ARL3	0.34196300793667594	96
ARL6	0.26000713113326346	57
ARL6IP1	0.22724729295085047	96
ARL6IP4	0.2845544722356338	96
ARL6IP5	0.1320957551861144	96
ARL6IP6	0.08349874462687157	77
ARL8A	0.3448953091232816	87
ARL8B	0.25129801644719935	96
ARMC1	0.06619143221617839	96
ARMC10	0.4049987282770216	96
ARMC6	0.3440429197436668	96
ARMC8	0.2720287551761489	94
ARMC9	0.44313672236523255	28
ARMCX1	0.461804964377456	25
ARMCX2	0.40084039811066885	85
ARMCX3	0.7619322151857113	96
ARMT1	0.1933625212481081	96
ARNT	0.19847328292946506	35
ARPC1A	-0.0630498036490604	96
ARPC1B	0.051811960373456985	96
ARPC2	0.033987282751812634	96
ARPC3	-0.1610800618721688	96
ARPC4	-0.16527513073203154	96
ARPC5	0.046016108520824175	96
ARPC5L	0.44358908281246845	96
ARPP19	0.2749196298707548	85
ARRB1	0.5597746834369822	96
ARRB2	0.3471021128274056	96
ARRDC1	0.3928496818442054	81
ARSA	0.1278936480953618	96
ARSB	0.4133251925612713	87
ARSD	0.3077738097248327	56
ARSE	0.672157500265245	94
ARVCF	0.2216247362071132	75
ASAH1	0.24018828189518776	96
ASAP1	0.276854683944476	75
ASAP2	0.4007283740415098	86
ASB9	0.6060407127555776	38
ASCC1	0.03197171979418128	75
ASCC2	-0.037087404324487615	96
ASCC3	0.5268087880234757	96
ASF1A	0.2830288634485422	56
ASH2L	0.4798115793056563	96
ASL	0.742892799374857	96
ASMTL	0.6786822535461431	96
ASNA1	0.31875093262472265	96
ASNS	0.6376692654940238	96
ASPH	0.6755155539777901	96
ASPN	0.694489096954054	96
ASPSCR1	0.5169448130220604	96
ASRGL1	0.63419751783704	75
ASS1	0.8652963778565468	96
ATAD1	0.18335842862762652	96
ATAD2	0.5324587612102933	64
