gene	log2fc	pval	qval	n_pairs
DERL3	-0.1162222222222222	0.4506834212807007	0.48926133873336913	36
DES	-2.7913406250000015	5.263224472250726e-16	5.154886567055492e-15	96
DFFA	-0.09592500000000002	0.013499445971350195	0.018208239449495067	96
DFFB	0.12009999999999998	0.15938207093404344	0.1866458917606035	41
DFNA5	-0.08178775510204082	0.2991210193801912	0.3354175027614412	49
DGAT1	-0.12935402298850573	0.022284090997718352	0.029366326164543786	87
DGKA	-0.2406239583333333	2.463296274643977e-10	7.384385481048454e-10	96
DGUOK	-0.10300967741935482	0.17267525805430683	0.20119456517651	62
DHCR24	0.27666562499999997	2.7049426241223626e-05	4.792115300630836e-05	96
DHCR7	0.7528770833333337	1.1824586319515931e-14	7.033614033511371e-14	96
DHFR	0.2404430379746836	0.0003130927725330647	0.000503968188801423	79
DHODH	0.13197083333333334	0.0003718463801651542	0.0005934151675851616	96
DHPS	0.1923863636363637	0.00026143653012265956	0.00042387087496204034	66
DHRS1	-0.4381822916666666	5.014742644496677e-14	2.5545868186733644e-13	96
DHRS11	-1.4001145833333337	1.8968686315376683e-17	9.541570874547247e-16	96
DHRS3	0.044073239436619734	0.35328552165875027	0.39069276594183505	71
DHRS4	-0.2931425287356321	7.474813955932157e-08	1.7103863175425937e-07	87
DHRS4L2	-0.7526444444444444	0.00042723119258880615	0.0006779314264612821	27
DHRS7	-0.06966562500000002	0.005359552991712232	0.007576434136614473	96
DHRS7B	-0.21220937499999995	2.5764732435751394e-09	6.922741121496868e-09	96
DHRS9	-1.4342310344827585	2.39794972715175e-15	1.7336039568384795e-14	87
DHTKD1	-0.12803461538461539	0.000854163863765069	0.0013137221106635554	78
DHX15	0.4353208333333333	1.224788200827034e-16	1.8676320427390004e-15	96
DHX16	0.11086875000000002	0.001384948698071205	0.002086597982339931	96
DHX29	0.11891874999999995	6.492354194445878e-05	0.00011120041942950573	96
DHX30	0.3223489583333334	1.4040123919424405e-14	8.191709299684774e-14	96
DHX32	-0.13558199999999998	0.24908489906916564	0.28300316512500306	50
DHX36	0.18923854166666668	3.6780548127123156e-09	9.66551889482449e-09	96
DHX37	0.20596901408450707	7.885391461697e-05	0.0001340336744781484	71
DHX38	0.038375	0.06658514294559052	0.08245103802546454	96
DHX57	-0.10726250000000002	0.2099543111398816	0.2416509647345112	32
DHX8	0.27129999999999993	2.250565775129621e-07	4.900696457430909e-07	76
DHX9	0.48028020833333335	1.9577585447302082e-17	9.541570874547247e-16	96
DIABLO	0.0928375	0.011327123048273028	0.015414723090040891	96
DIAPH1	0.3824489583333333	1.3879044553633844e-15	1.1047403170795891e-14	96
DIAPH2	0.0879697916666667	0.025084916597903472	0.03287648084691041	96
DICER1	0.06761518987341772	0.3393635630844202	0.37645339694665586	79
DIDO1	0.31519791666666674	1.7640848308895666e-14	9.953948806087554e-14	96
DIEXF	0.33277254901960784	1.7488750623336432e-06	3.4909856570057756e-06	51
DIMT1	0.5015822916666666	2.2594127982051944e-15	1.6406068824549516e-14	96
DIP2A	-0.4483142857142856	3.448803909122944e-09	9.116637283808444e-09	42
DIP2B	-0.0010843749999999944	0.5624483295467675	0.598298056592558	96
DIP2C	-1.100564583333333	2.3447910280083306e-13	1.065078064110216e-12	48
DIS3	0.5313135416666667	4.848841191360182e-17	1.1065582788653538e-15	96
DIS3L2	-0.04669374999999998	0.1453251597894201	0.17096028353975443	96
DKC1	0.6334239583333334	3.663148407899231e-17	9.793023480830454e-16	96
DLAT	-0.03647916666666667	0.5773341819002413	0.6124818194763945	96
DLD	-0.40914374999999975	2.2942351156220663e-10	6.889894087156868e-10	96
DLG1	-0.21428958333333328	9.053626057893825e-13	3.7104934161520875e-12	96
DLG3	-0.29735999999999996	0.00018321367407200792	0.00030173401349553814	80
DLG4	-0.1596931818181818	0.19928661531321268	0.23016248960859767	44
DLGAP4	0.03137187499999999	0.3514144347228656	0.38885690954242214	96
DLST	-0.3330927083333335	1.8967854640289895e-12	7.46397102403658e-12	96
DMAP1	-0.01851358024691357	0.8591450192994714	0.8767879425737988	81
DMBT1	0.21258124999999994	0.2468231750952854	0.2807148129707187	96
DMD	-1.574646875	4.281209066511376e-17	1.0407994743733164e-15	96
DMPK	-1.3352133333333334	2.1088908397359774e-11	7.174720407600747e-11	45
DMTN	-1.0364386363636358	4.391031694961537e-15	2.919666168632007e-14	88
DNAAF5	0.136259375	0.00039308778540789576	0.0006258248581636385	96
DNAJA1	0.4643479166666667	2.8771377414649594e-16	3.2392612516095467e-15	96
DNAJA2	-0.0912354166666667	0.001860460313759891	0.0027614664258882983	96
DNAJA3	0.36834374999999997	1.2749869944418205e-11	4.464799684025897e-11	96
DNAJA4	-0.14640416666666667	0.0012440371858932488	0.0018831781318045591	96
DNAJB1	0.3836375	2.8152818867337888e-15	1.9987011828674062e-14	96
DNAJB11	0.2530697916666665	7.501108772107849e-09	1.9091403168464174e-08	96
DNAJB12	-0.1957010416666667	0.03435791081941746	0.04426021960204911	96
DNAJB14	-0.025890740740740735	0.6205367131630606	0.6541767455391221	54
DNAJB2	-0.3568647727272727	4.5143257658759085e-08	1.0549150666409429e-07	88
DNAJB4	-1.1523114583333331	1.8383034965662743e-15	1.3843434295524861e-14	96
DNAJB5	-1.922675	1.8796247256239513e-16	2.420700276693723e-15	96
DNAJB6	0.0809354166666667	0.06339800446945368	0.07882453891504165	96
DNAJC1	0.11235208333333323	0.008151701290325013	0.011255353767604552	96
DNAJC10	0.5306864583333332	4.0581146642005375e-15	2.7336661390366098e-14	96
DNAJC11	-0.031227083333333322	0.24225038879474814	0.2759355679804309	96
DNAJC13	-0.12148333333333333	2.0314734017420305e-07	4.446706379212817e-07	96
DNAJC15	0.3904083333333333	0.007920503616333008	0.010956424487005805	24
DNAJC16	-0.09577727272727272	0.3880448341369629	0.42615694749138716	22
DNAJC17	0.1242645833333333	0.005733263448189049	0.008075680133088459	96
DNAJC19	0.4900052083333333	2.849600339295157e-13	1.2711415343305323e-12	96
DNAJC2	0.5480572916666667	2.3263140656604483e-16	2.8124360258350664e-15	96
