rank,gene,rna_lfc,rna_p,rna_q,mean_tumor_log2tpm,mean_normal_log2tpm,n_tumor,n_normal,prot_lfc,prot_p,prot_q,n_pairs,neglog10p,gen_p,gen_q,mut_freq,n_mutated,cds_len,n_patients,concordant,transcriptomic,proteomic,genomic,score,score_genomic_weighted
2964,AMPD2,1.198078274558223,6.325014549570702e-23,1.9785049952484837e-21,4.218337621529125,3.020259346970902,471,41,0.2033708333333334,1.8398320514270686e-09,5.0299238928379e-09,96,0.0065060919753853,0.985130823989675,0.9999999997893128,0.0094339622641509,1,2478.0,106,True,1.198078274558223,0.2033708333333334,0.0065060919753853,0.43757300900158047,0.33405483405483405
2965,NDUFV3,0.1434277869050353,0.0037569414561929,0.0051726601504975,4.472480438802383,4.329052651897348,471,41,-0.407865625,2.2595331038729695e-15,1.6406068824549516e-14,96,0.1596811543742916,0.6923390783944245,0.9999999997893128,0.0188679245283018,2,1422.0,106,False,0.1434277869050353,0.407865625,0.1596811543742916,0.4375730090015804,0.44130076272933416
2966,AP1G2,0.6857450058060253,1.0303863575711217e-12,3.5664571822297602e-12,3.98438917900087,3.2986441731948446,471,41,0.0158218749999999,0.5356487981718485,0.572787342514334,96,0.254749944886571,0.5562244241934204,0.9999999997893128,0.0377358490566037,4,2358.0,106,True,0.6857450058060253,0.0158218749999999,0.254749944886571,0.4375730090015804,0.4799525870954443
2967,TRMT61B,0.5726905838748184,2.3968961968886917e-11,7.106360593370463e-11,4.048399373770073,3.475708789895255,471,41,-0.1336510204081632,0.1842216832212209,0.2138310160434552,49,0.1569417678535467,0.6967199271718233,0.9999999997893128,0.0188679245283018,2,1434.0,106,False,0.5726905838748184,0.1336510204081632,0.1569417678535467,0.4375042946471518,0.4400123685837971
2968,SEPSECS,-0.1456323052197516,0.1056879899317291,0.1242918992111975,3.19788012719775,3.343512432417502,471,41,-0.4399546666666667,1.141222844609114e-08,2.8473276550697453e-08,75,0.1415068653884024,0.7219267505270961,0.9999999997893128,0.0188679245283018,2,1506.0,106,True,0.1456323052197516,0.4399546666666667,0.1415068653884024,0.4373668659382945,0.4318181818181818
2969,AFG1L,-0.0699282077488345,0.0799364032781924,0.0954802676754201,1.505051178575132,1.5749793863239665,471,41,-0.2657909090909091,0.0114727020263671,0.0156063174969378,22,0.3577737296910553,0.4387592347099902,0.9999999997893128,0.0283018867924528,3,1446.0,106,True,0.0699282077488345,0.2657909090909091,0.3577737296910553,0.4373325087610802,0.506338899196042
2970,GZMK,-0.3457861541535686,5.870697407086977e-05,9.530683262924848e-05,0.8986899020472731,1.2444760562008417,471,41,-0.2869155555555556,0.012862368501203,0.0173926236305752,45,0.1302962820518494,0.7408046810744527,0.9999999997893128,0.0094339622641509,1,795.0,106,True,0.3457861541535686,0.2869155555555556,0.1302962820518494,0.4372294372294372,0.4258400329828901
2971,PGAM1,0.0231494615053966,0.5648762063759665,0.5973360676406356,5.729961058420074,5.706811596914678,471,41,-0.7025062499999999,9.815158768255152e-11,3.0742250315697387e-10,96,0.1383123966442907,0.7272564863116064,0.9999999997893128,0.0094339622641509,1,765.0,106,False,0.0231494615053966,0.7025062499999999,0.1383123966442907,0.4372294372294372,0.42996289424860856
2972,PHYH,-0.918943951089358,1.1593528496879505e-13,4.5091405945122756e-13,5.076444338419747,5.995388289509105,471,41,-0.1177551282051282,0.027525545968288,0.0358789368372342,78,0.0840615070397058,0.8240214045583838,0.9999999997893128,0.0094339622641509,1,1023.0,106,True,0.918943951089358,0.1177551282051282,0.0840615070397058,0.43716072287500857,0.3970315398886828
2973,LYN,0.6827130700311939,1.900500515993913e-10,5.131030904057765e-10,5.078367988315424,4.39565491828423,471,41,0.2701114583333334,1.2627844714012092e-10,3.9077587724311405e-10,96,0.0330423891414982,0.9267393649348928,0.9999999997893128,0.0094339622641509,1,1539.0,106,True,0.6827130700311939,0.2701114583333334,0.0330423891414982,0.43716072287500857,0.3578128220985364
2974,PSMB3,0.7019617714301205,1.6370254562073833e-15,8.105047880030426e-15,8.528748198971877,7.826786427541757,471,41,-0.0588510416666666,0.0696210356667691,0.086003963963976,96,0.1871459099604953,0.6499113028939225,0.9999999997893128,0.0094339622641509,1,618.0,106,False,0.7019617714301205,0.0588510416666666,0.1871459099604953,0.43702329416615127,0.4538239538239538
2975,TAF10,0.5479729939377191,7.84892161032926e-10,1.9871776427119133e-09,1.5601097859780686,1.0121367920403497,471,41,-0.1292482142857143,0.0144000755602314,0.0193491101409158,56,0.1724057880322382,0.6723481464972112,0.9999999997893128,0.0094339622641509,1,657.0,106,False,0.5479729939377191,0.1292482142857143,0.1724057880322382,0.43692022263450836,0.44712430426716143
2976,A1CF,-1.140487472082642,1.8583168006318562e-13,7.02593756460447e-13,2.7771392548224547,3.917626726905097,471,41,-0.1837114942528736,0.0401005919396119,0.0512545001567644,87,0.0205952188382768,0.9536846250620716,0.9999999997893128,0.0094339622641509,1,1809.0,106,True,1.140487472082642,0.1837114942528736,0.0205952188382768,0.4368515082800797,0.34606266749123893
2977,PPIL3,0.6869848164699843,5.212634245142057e-12,1.6627368536713776e-11,4.277317405177672,3.5903325887076876,471,41,-0.0209458333333333,0.7477711854448261,0.7739583843699758,96,0.2435367034183318,0.5707728365548967,0.9999999997893128,0.0094339622641509,1,498.0,106,False,0.6869848164699843,0.0209458333333333,0.2435367034183318,0.4366797223940081,0.47572665429808286
2978,GCDH,0.3541503951521791,3.463925870213109e-08,7.47588216915724e-08,4.470307102695746,4.116156707543567,471,41,-0.079,0.0892712365003486,0.1086970464030561,96,0.4185751957216557,0.3814387445226144,0.9999999997893128,0.0283018867924528,3,1317.0,106,False,0.3541503951521791,0.079,0.4185751957216557,0.4366110080395794,0.5179859822716966
2979,ZGPAT,0.596674675920768,6.83053488634868e-10,1.740596944053949e-09,2.772225672245171,2.175550996324403,471,41,0.1608557692307692,0.0135880025962617,0.0183166384203979,52,0.1244058662560499,0.7509207992825149,0.9999999997893128,0.0188679245283018,2,1596.0,106,True,0.596674675920768,0.1608557692307692,0.1244058662560499,0.43654229368515085,0.4215625644197073
2980,GPX1,0.8146988472821821,9.07348572081129e-16,4.634372303631312e-15,9.077522375583172,8.26282352830099,471,41,-0.024828125,0.2777749847064477,0.3131566229355231,96,0.1895485979011583,0.6463256655919833,0.9999999997893128,0.0094339622641509,1,612.0,106,False,0.8146988472821821,0.024828125,0.1895485979011583,0.43626743626743625,0.4545454545454546
2981,KNTC1,1.1754413160613937,5.123019758638469e-20,5.794605950876778e-19,3.3062936362298654,2.1308523201684717,471,41,0.2038428571428571,0.0665805829891254,0.0824510380254645,35,0.0064124520666982,0.9853432547478091,0.9999999997893128,0.0471698113207547,5,6630.0,106,True,1.1754413160613937,0.2038428571428571,0.0064124520666982,0.43619872191300757,0.332972582972583
2982,BTAF1,0.5164585500112353,3.3782413928116824e-08,7.298117143232106e-08,3.9337498571556138,3.417291307144378,471,41,-0.07158,0.1190453016320725,0.1423155610565885,80,0.2574196397436782,0.5528156894666365,0.9999999997893128,0.0849056603773584,9,5550.0,106,False,0.5164585500112353,0.07158,0.2574196397436782,0.4360956503813646,0.4799525870954442
2983,MYO1B,0.5561109200627561,2.8898191807944862e-09,6.9063109774693585e-09,5.126465403228906,4.57035448316615,471,41,0.4102395833333334,1.1446370539529472e-15,9.4583805363459e-15,96,0.0093069419794111,0.9787979656157122,0.9999999997893128,0.0188679245283018,2,3411.0,106,True,0.5561109200627561,0.4102395833333334,0.0093069419794111,0.43599257884972165,0.3354978354978355
2984,ANXA6,-0.1407423323594736,0.5957727526791847,0.6272210633329222,5.8756145919953315,6.016356924354805,471,41,-0.8752333333333335,1.7144583344043245e-14,9.723963877819653e-14,96,0.0679533260480607,0.8551586124803388,0.9999999997893128,0.0188679245283018,2,2022.0,106,True,0.1407423323594736,0.8752333333333335,0.0679533260480607,0.43595822167250736,0.38507524221809936
2985,HMGXB4,0.3765348689666297,2.85136665608524e-08,6.203263518260304e-08,3.972935194586256,3.596400325619626,471,41,0.1592103448275861,0.2297072820365429,0.2625841123160958,29,0.2326296068626608,0.5852890419602513,0.9999999997893128,0.0283018867924528,3,1806.0,106,True,0.3765348689666297,0.1592103448275861,0.2326296068626608,0.4357864357864357,0.471552257266543
2986,PICK1,0.3703642248542653,8.010111269084751e-09,1.8396722686469948e-08,4.342694226716104,3.972330001861839,471,41,0.056975,0.7965622618794441,0.8194014435677999,28,0.4556671894335826,0.3502134414151666,0.9999999997893128,0.0283018867924528,3,1248.0,106,True,0.3703642248542653,0.056975,0.4556671894335826,0.4357177214320071,0.5230364873222016
